Time,Open,High,Low,Close,,,,,,,,
1766333040000000,88056.24,88060.48,88056.24,88060.48,,,,,,,,
1766333100000000,88060.48,88065.28,88056.47,88056.47,,,,,,,,
1766333160000000,88056.47,88114,88056.47,88113.99,,,,,,,,
1766333220000000,88113.99,88127.85,88110.28,88127.85,,,,,,,,
1766333280000000,88127.85,88160,88102.11,88102.11,,,,,,,,
1766333340000000,88102.11,88131.2,88102.11,88129.75,,,,,,,,
1766333400000000,88129.75,88129.75,88112.1,88112.1,,,,,,,,
1766333460000000,88112.1,88112.11,88036.79,88036.79,,,,,,,,
1766333520000000,88036.8,88080,88031.05,88064,,,,,,,,
1766333580000000,88064.01,88087.67,88064,88087.67,,,,,,,,
1766333640000000,88087.68,88087.68,88049.61,88049.62,,,,,,,,
1766333700000000,88049.62,88060.49,88049.61,88052.57,,,,,,,,
1766333760000000,88052.56,88052.57,87985.11,88020.43,,,,,,,,
1766333820000000,88020.43,88045.82,88020.43,88045.82,,,,,,,,
1766333880000000,88045.82,88100,88039.7,88099.99,,,,,,,,
1766333940000000,88100,88107.82,88092.42,88107.82,,,,,,,,
1766334000000000,88107.82,88199.85,88107.81,88187.11,,,,,,,,
1766334060000000,88187.1,88220,88173.18,88220,,,,,,,,
1766334120000000,88219.99,88250,88208.29,88228.57,,,,,,,,
1766334180000000,88228.57,88250,88228.57,88250,,,,,,,,
1766334240000000,88250,88311,88250,88281.09,,,,,,,,
1766334300000000,88281.09,88343.37,88281.09,88333.75,,,,,,,,
1766334360000000,88333.75,88346,88333.75,88333.75,,,,,,,,
1766334420000000,88333.76,88350,88296,88297.45,,,,,,,,
1766334480000000,88297.45,88297.46,88218.96,88233.22,,,,,,,,
1766334540000000,88233.23,88249.61,88224.39,88224.39,,,,,,,,
1766334600000000,88224.39,88270.99,88224.39,88231.64,,,,,,,,
1766334660000000,88231.65,88231.65,88231.64,88231.64,,,,,,,,
1766334720000000,88231.64,88231.65,88184,88184,,,,,,,,
1766334780000000,88184.01,88218.15,88177,88216.72,,,,,,,,
1766334840000000,88216.71,88227.76,88216.68,88216.68,,,,,,,,
1766334900000000,88216.68,88231.64,88216.68,88231.63,,,,,,,,
1766334960000000,88231.63,88249.39,88214.01,88214.02,,,,,,,,
1766335020000000,88214.01,88242.22,88214.01,88242.21,,,,,,,,
1766335080000000,88242.21,88242.22,88233.5,88233.5,,,,,,,,
1766335140000000,88233.51,88233.51,88200.15,88200.16,,,,,,,,
1766335200000000,88200.16,88217.01,88179.91,88179.92,,,,,,,,
1766335260000000,88179.92,88214.3,88179.91,88199.57,,,,,,,,
1766335320000000,88199.57,88199.58,88188.79,88188.79,,,,,,,,
1766335380000000,88188.79,88188.8,88188.79,88188.79,,,,,,,,
1766335440000000,88188.79,88188.8,88188.79,88188.79,,,,,,,,
1766335500000000,88188.79,88188.8,88188.79,88188.79,,,,,,,,
1766335560000000,88188.8,88188.8,88188.79,88188.8,,,,,,,,
1766335620000000,88188.79,88205.85,88188.79,88203.49,,,,,,,,
1766335680000000,88203.5,88215.27,88177.01,88215.26,,,,,,,,
1766335740000000,88215.26,88230.64,88215.26,88230.41,,,,,,,,
1766335800000000,88230.41,88256.56,88230,88256.55,,,,,,,,
1766335860000000,88256.55,88279.98,88256.55,88275.06,,,,,,,,
1766335920000000,88275.07,88306.6,88275.06,88280.92,,,,,,,,
1766335980000000,88280.92,88306.59,88280.9,88289.5,,,,,,,,
1766336040000000,88289.51,88289.51,88289.5,88289.51,,,,,,,,
1766336100000000,88289.51,88289.51,88274.42,88274.43,,,,,,,,
1766336160000000,88274.42,88300.01,88274.42,88300.01,,,,,,,,
1766336220000000,88300.01,88340,88300,88340,,,,,,,,
1766336280000000,88340,88342.08,88339.99,88341.5,,,,,,,,
1766336340000000,88341.51,88369,88341.5,88359.18,,,,,,,,
1766336400000000,88359.18,88424.31,88341.5,88341.5,,,,,,,,
1766336460000000,88341.5,88378.13,88341.5,88378.13,,,,,,,,
1766336520000000,88378.13,88435.76,88378.12,88431.21,,,,,,,,
1766336580000000,88431.2,88435.65,88411.5,88420.79,,,,,,,,
1766336640000000,88420.8,88420.8,88420.79,88420.79,,,,,,,,
1766336700000000,88420.79,88420.8,88401.4,88401.4,,,,,,,,
1766336760000000,88401.4,88401.41,88360.64,88361.95,,,,,,,,
1766336820000000,88361.94,88371.09,88361.94,88362.92,,,,,,,,
1766336880000000,88362.92,88417.87,88362.92,88417.87,,,,,,,,
1766336940000000,88417.86,88423.72,88404.13,88409.21,,,,,,,,
1766337000000000,88409.21,88439.97,88409.2,88439.97,,,,,,,,
1766337060000000,88439.97,88439.97,88409.36,88409.36,,,,,,,,
1766337120000000,88409.36,88421.76,88409.36,88421.75,,,,,,,,
1766337180000000,88421.76,88421.76,88409.2,88409.21,,,,,,,,
1766337240000000,88409.2,88412.92,88409.2,88412.91,,,,,,,,
1766337300000000,88412.91,88412.92,88395.05,88395.05,,,,,,,,
1766337360000000,88395.05,88406.49,88395.05,88406.49,,,,,,,,
1766337420000000,88406.48,88488.4,88406.48,88431.24,,,,,,,,
1766337480000000,88431.23,88488.92,88431.23,88488.92,,,,,,,,
